Name,Category,Content,Keywords
"Posit Connect manifest.json","Deployment","Posit Connect can use rsconnect::writeManifest() to generate manifest.json, capturing exact R package versions and metadata. When you deploy Git-backed content, committing manifest.json helps Connect recreate the same package environment.","manifest.json; writeManifest; rsconnect"
"GitHub Actions connect-publish","Deployment","Use rstudio/actions/connect-publish@main to publish Shiny R apps to Posit Connect from your GitHub repo. Configure secrets CONNECT_SERVER and CONNECT_API_KEY and set the workflow 'dir' to the app folder.","connect-publish; GitHub Actions; Posit Connect; CONNECT_SERVER"
"Shiny R app entry point","Shiny R","A Shiny R app commonly uses app.R as the primary document containing ui/server definitions. When deploying to Posit Connect, you typically set appmode to 'shiny' and primary_rmd/app.R so Connect knows how to run it.","Shiny; app.R; ui/server; appmode=shiny"
"Alpha Vantage TIME_SERIES_DAILY","Finance API","Alpha Vantage TIME_SERIES_DAILY provides daily OHLCV time series. Requests typically use function=TIME_SERIES_DAILY, symbol=<TICKER>, and apikey=<API_KEY> to fetch the 'Time Series (Daily)' data.","TIME_SERIES_DAILY; OHLCV; apikey"
"Ollama local endpoint /api/chat","LLM","Ollama runs a local REST API (default port 11434). Chat completions are sent to http://localhost:11434/api/chat with a JSON body containing model and messages.","localhost:11434; /api/chat; Ollama REST"
"Ollama model tags","LLM","Ollama models are referenced by tags such as smollm2:135m. You typically pull models first (ollama pull <tag>) and then use the tag in your API calls.","model tag; ollama pull"
"RAG search over CSV","RAG","In CSV-based RAG, you implement a search() that filters rows relevant to a query, then converts the retrieved rows to JSON for the LLM. The system prompt instructs the model to answer using only the retrieved context.","RAG; CSV; search(); JSON to LLM"
"RAG search over text files","RAG","In text-based RAG, you read lines from a .txt file, filter matching lines (e.g., with grep), and pass the retrieved text to the LLM as context. The system prompt emphasizes using only retrieved lines.","RAG; text file; readLines; grep"
"RAG search over SQLite","RAG","In SQLite-based RAG, you connect with DBI/RSQLite, run SQL LIKE queries against a documents table, then convert results to JSON for the LLM. The system prompt instructs the model to summarize based on retrieved documents.","SQLite; DBI; SQL LIKE; documents table"
"FDA Drug Shortages API","Healthcare API","The FDA Drug Shortages API can be queried for current shortages. Example usage filters by therapeutic_category and dosage_form, then reads results containing fields like generic_name, update_date, and availability status.","FDA; drug shortages; therapeutic_category; availability"
